perm_id,modal_label,modal_fraction,stability_score,multilabel_union
3535.0,Other,0.7409326424870466,0.7409326424870466,BRE;Other
4818.0,Other,0.7409326424870466,0.7409326424870466,FM/EM;Other
3750.0,Other,0.7409326424870466,0.7409326424870466,FM/EM;Other
58.0,Other,0.7409326424870466,0.7409326424870466,FM/EM;Other
4996.0,Other,0.7409326424870466,0.7409326424870466,FM/EM;Other
616.0,Other,0.7979274611398963,0.7979274611398963,APD;FM/EM;Other
4043.0,Other,0.7979274611398963,0.7979274611398963,APD;FM/EM;Other
1223.0,Other,0.805699481865285,0.805699481865285,APD;BRE;Other
4808.0,Other,0.8134715025906736,0.8134715025906736,APD;FM/EM;Other
4813.0,Other,0.8134715025906736,0.8134715025906736,APD;FM/EM;Other
1957.0,Other,0.8134715025906736,0.8134715025906736,APD;FM/EM;Other
1583.0,Other,0.8134715025906736,0.8134715025906736,APD;FM/EM;Other
2807.0,Other,0.8134715025906736,0.8134715025906736,APD;FM/EM;Other
2689.0,Other,0.8134715025906736,0.8134715025906736,APD;FM/EM;Other
4507.0,Other,0.8134715025906736,0.8134715025906736,FM/EM;Other
4586.0,Other,0.8134715025906736,0.8134715025906736,APD;FM/EM;Other
2146.0,Other,0.8134715025906736,0.8134715025906736,APD;FM/EM;Other
1764.0,Other,0.8134715025906736,0.8134715025906736,APD;FM/EM;Other
4774.0,Other,0.8134715025906736,0.8134715025906736,APD;FM/EM;Other
1532.0,Other,0.8238341968911918,0.8238341968911918,APD;BRE;Other
451.0,Other,0.8238341968911918,0.8238341968911918,APD;BRE;Other
3382.0,Other,0.8238341968911918,0.8238341968911918,APD;BRE;Other
3685.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
1935.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
2549.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
4138.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
4837.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
4200.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
660.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
4278.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
4356.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
2756.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
3876.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
1985.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
3193.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
2524.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
970.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
2579.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
4173.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
2560.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
1888.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
1225.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
588.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
1921.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
1459.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
3546.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
709.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
4493.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
2254.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
3364.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
