# run_date: 2026-02-22T00:00:00Z
# git_commit: bb1f1b38d9c01e3900510d2630ffca28220ecb0c
# command: python motif_discovery_test.py --embeddings "C:\Users\ctint\Desktop\Scripts\embeddings_5000_dim8.csv" --outdir "motif_results_robustness/peripheral_95" --peripheral_pct 95 --dbscan_eps 0.5 --dbscan_min_samples 5 --null_method radial_preserve --B 1000 --alpha 0.05 --seed 42

cluster_id,n_k,T_obs,hat_p,q_value
0,1,0.7058823529411765,1.0,1.0
0,0,0.5294117647058824,1.0,1.0
0,0,0.1764705882352941,1.0,1.0
0,0,0.9411764705882352,1.0,1.0
0,0,0.8823529411764706,1.0,1.0
0,0,0.0,1.0,1.0
0,0,0.4117647058823529,1.0,1.0
0,0,0.8823529411764706,1.0,1.0
0,1,0.8235294117647058,1.0,1.0
0,0,0.0,1.0,1.0
0,0,1.0,0.5,1.0
0,0,0.1176470588235294,1.0,1.0
0,0,0.9411764705882352,1.0,1.0
0,0,0.0588235294117647,1.0,1.0
0,1,0.6470588235294118,1.0,1.0
0,0,1.0,0.5,1.0
0,0,0.1176470588235294,1.0,1.0
0,0,0.8823529411764706,1.0,1.0
0,0,0.2352941176470588,1.0,1.0
1,0,0.5294117647058824,1.0,1.0
0,0,0.6470588235294118,1.0,1.0
0,0,0.2941176470588235,1.0,1.0
0,0,0.6470588235294118,1.0,1.0
0,0,0.4705882352941176,1.0,1.0
0,0,0.7647058823529411,1.0,1.0
0,0,0.2352941176470588,1.0,1.0
0,0,0.1764705882352941,1.0,1.0
1,0,0.2941176470588235,1.0,1.0
0,0,0.7647058823529411,1.0,1.0
0,0,0.4705882352941176,1.0,1.0
0,0,0.8235294117647058,1.0,1.0
0,0,0.8235294117647058,1.0,1.0
0,1,0.1176470588235294,1.0,1.0
0,0,0.3529411764705882,1.0,1.0
0,0,0.8823529411764706,1.0,1.0
0,0,0.2941176470588235,1.0,1.0
0,0,0.4705882352941176,1.0,1.0
0,0,1.0,0.5,1.0
0,0,0.9411764705882352,1.0,1.0
0,0,0.4117647058823529,1.0,1.0
1,0,0.1176470588235294,1.0,1.0
0,0,0.2941176470588235,1.0,1.0
0,0,0.3529411764705882,1.0,1.0
0,0,0.7058823529411765,1.0,1.0
0,0,1.0,0.5,1.0
0,0,0.3529411764705882,1.0,1.0
0,0,0.2352941176470588,1.0,1.0
0,0,0.5294117647058824,1.0,1.0
0,0,0.0,1.0,1.0
0,0,1.0,0.5,1.0
0,1,0.6470588235294118,1.0,1.0
0,0,0.0,1.0,1.0
0,0,0.7058823529411765,1.0,1.0
0,0,0.1176470588235294,1.0,1.0
0,0,0.5882352941176471,1.0,1.0
0,1,0.2352941176470588,1.0,1.0
0,0,0.0,1.0,1.0
0,0,0.4117647058823529,1.0,1.0
0,1,0.7058823529411765,1.0,1.0
0,0,0.3529411764705882,1.0,1.0
0,0,0.0,1.0,1.0
0,0,0.5294117647058824,1.0,1.0
0,1,0.7058823529411765,1.0,1.0
0,0,0.2352941176470588,1.0,1.0
0,0,0.7647058823529411,1.0,1.0
0,0,0.8235294117647058,1.0,1.0
0,0,0.4705882352941176,1.0,1.0
0,0,0.2941176470588235,1.0,1.0
0,0,0.1176470588235294,1.0,1.0
0,0,0.6470588235294118,1.0,1.0
0,0,0.4117647058823529,1.0,1.0
1,0,0.0,1.0,1.0
0,0,0.9411764705882352,1.0,1.0
0,0,0.4705882352941176,1.0,1.0
0,0,0.2352941176470588,1.0,1.0
0,0,1.0,0.5,1.0
0,0,0.7647058823529411,1.0,1.0
1,0,0.7647058823529411,0.5,1.0
0,0,0.0,1.0,1.0
0,0,0.9411764705882352,1.0,1.0
0,0,0.3529411764705882,1.0,1.0
0,0,0.9411764705882352,1.0,1.0
0,0,0.1176470588235294,1.0,1.0
0,0,0.1176470588235294,1.0,1.0
1,0,0.4705882352941176,1.0,1.0
0,0,1.0,0.5,1.0
0,0,0.8823529411764706,1.0,1.0
0,1,0.2941176470588235,1.0,1.0
