perm_id,modal_label,modal_fraction,stability_score,multilabel_union
0.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
1.0,Other,1.0,1.0,Other
2.0,Other,1.0,1.0,Other
3.0,Other,1.0,1.0,Other
4.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
5.0,Other,1.0,1.0,Other
6.0,Other,1.0,1.0,Other
7.0,Other,1.0,1.0,Other
8.0,Other,1.0,1.0,Other
9.0,Other,1.0,1.0,Other
10.0,Other,1.0,1.0,Other
11.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
12.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
13.0,Other,1.0,1.0,Other
14.0,Other,1.0,1.0,Other
15.0,Other,1.0,1.0,Other
16.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
17.0,Other,1.0,1.0,Other
18.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
19.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
20.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
21.0,Other,1.0,1.0,Other
22.0,Other,1.0,1.0,Other
23.0,Other,1.0,1.0,Other
24.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
25.0,Other,1.0,1.0,Other
26.0,Other,1.0,1.0,Other
27.0,Other,1.0,1.0,Other
28.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
29.0,Other,1.0,1.0,Other
30.0,Other,1.0,1.0,Other
31.0,Other,1.0,1.0,Other
32.0,Other,1.0,1.0,Other
33.0,Other,1.0,1.0,Other
34.0,Other,1.0,1.0,Other
35.0,Other,1.0,1.0,Other
36.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
37.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
38.0,Other,1.0,1.0,Other
39.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
40.0,Other,1.0,1.0,Other
41.0,Other,1.0,1.0,Other
42.0,Other,1.0,1.0,Other
43.0,Other,1.0,1.0,Other
