perm_index,dK,disp_kappa_scaled,adjacency_violations,single_move,max_block_move,order_dual_proximity,score_dir,connective_density_per_100,pos_weighted_connectives,sent_connective_sd,max_sent_connectives,cluster,x,y,z,motif
71,0.4642857142857143,24.82863287324937,3,7,2,0.5357142857142857,0.336915260250351,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
72,0.4285714285714285,26.286978242670685,4,4,1,0.5714285714285714,0.3575161496714074,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
73,0.5714285714285714,41.45915492122031,3,6,1,0.4285714285714285,0.2665636758271237,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
74,0.6071428571428571,31.81316181090686,5,7,1,0.3928571428571428,0.247904516034213,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
75,0.5,34.246344009405234,2,5,2,0.5,0.3113486947722368,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
76,0.75,46.36698994200489,5,6,1,0.25,0.1584446995785409,0.0,0.0,0.0,0.0,2,0.35932509841642196,0.5267332492849607,0.5043918837353102,GD
77,0.7142857142857143,42.607087845261454,4,6,2,0.2857142857142857,0.1806013921732032,0.0,0.0,0.0,0.0,2,0.309152816416873,0.24388764213408062,-0.10217135027464108,GD
78,0.5357142857142857,31.589682688634003,3,6,3,0.4642857142857143,0.2908452516651252,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
79,0.5357142857142857,31.552370583275664,4,5,1,0.4642857142857143,0.2908593201391629,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
80,0.3928571428571428,23.64904537373123,3,5,1,0.6071428571428571,0.3805135232712211,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
81,0.4642857142857143,27.14535241431065,4,5,1,0.5357142857142857,0.3356405093042051,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
82,0.3571428571428571,23.27740064211105,3,4,2,0.6428571428571429,0.4021905141992318,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
83,0.1785714285714285,11.021414862188138,3,2,2,0.8214285714285714,0.5261310964296253,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,BRE
84,0.5714285714285714,45.25629272263452,2,5,3,0.4285714285714285,0.2657903292262451,0.0,0.0,0.0,0.0,0,-0.07943386759355675,-0.048307876991495156,0.00980579718625153,Other
85,0.6428571428571429,42.67811594927901,3,6,2,0.3571428571428571,0.2234436184513724,0.0,0.0,0.0,0.0,3,0.13810437903261466,-0.17383201993497444,0.06912673543450573,GD
86,0.6428571428571429,42.08796893283663,3,7,2,0.3571428571428571,0.2235690481236005,0.0,0.0,0.0,0.0,0,0.17173226994596022,-0.03184799037124177,-0.01778181460084153,GD
87,0.5714285714285714,32.05671440865285,3,7,2,0.4285714285714285,0.2692432732657401,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
88,0.3928571428571428,23.027962726571083,4,5,2,0.6071428571428571,0.380932984990761,0.0,0.0,0.0,0.0,0,3.481379689174673e-17,-1.2599380619544298e-17,8.002058052806833e-18,Other
89,0.5357142857142857,33.78739901083196,4,6,2,0.4642857142857143,0.2900698449915653,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
90,0.75,35.69935500524037,6,6,1,0.25,0.1608993741155091,0.0,0.0,0.0,0.0,0,0.09404607285245574,0.05137627812409826,0.12455137100064315,GD
91,0.5,27.320364674522533,4,6,1,0.5,0.3141241119101776,0.0,0.0,0.0,0.0,0,3.493208323321945e-17,-1.2483388706646608e-17,7.97277104355704e-18,Other
92,0.3571428571428571,23.36900074550155,2,5,3,0.6428571428571429,0.4021285820646947,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
93,0.6428571428571429,41.80643888303724,3,6,2,0.3571428571428571,0.223630102897272,0.0,0.0,0.0,0.0,0,0.16333603641726865,0.045816615299483436,-0.05288216846894121,GD
94,0.5357142857142857,28.075262201525117,4,7,1,0.4642857142857143,0.2923288281514405,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,FM/EM
95,0.7142857142857143,46.39511935866602,4,7,1,0.2857142857142857,0.1798682590042681,0.0,0.0,0.0,0.0,1,-0.3787593442068729,0.04367331041715769,0.3920127133936937,GD
96,0.5357142857142857,33.78234962459653,3,5,1,0.4642857142857143,0.2900715142274344,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
97,0.6428571428571429,38.631933024870776,4,6,1,0.3571428571428571,0.2243785856010998,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
98,0.3214285714285714,20.67469052516657,2,4,2,0.6785714285714286,0.4255975612381962,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
99,0.2142857142857142,11.329688136163265,3,2,1,0.7857142857142857,0.5038705923120348,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
100,0.5,27.848365108436965,4,6,1,0.5,0.3138656037697962,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
101,0.3928571428571428,20.67469052516657,4,4,1,0.6071428571428571,0.3827404183810534,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
102,0.3571428571428571,20.70797729730682,4,6,1,0.6428571428571429,0.4041406915706077,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
103,0.75,43.67011292341819,5,7,1,0.25,0.1589545329935868,0.0,0.0,0.0,0.0,1,-0.39999904615170734,0.00615737031875653,0.018610344051831984,GD
104,0.5714285714285714,37.75561538611096,3,6,2,0.4285714285714285,0.2674639421266696,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
105,0.5714285714285714,38.09910151417627,4,5,1,0.4285714285714285,0.2673732712574876,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
106,0.5,34.28987367579762,3,6,2,0.5,0.3113346962835497,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
107,0.6071428571428571,35.00147461079042,3,7,2,0.3928571428571428,0.2468249417172514,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
108,0.6071428571428571,38.42820014232233,4,5,2,0.3928571428571428,0.2458593087829557,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
